id,consumption
54011,6.931631
46101,8.090370
41001,11.771776
41003,0.654674
41005,0.996843
41007,14.148677
41009,12.428734
41011,5.118177
41013,2.185967
41015,2.514668
41017,2.815496
41019,4.750899
41021,3.230169
41023,13.876986
41025,12.107689
41027,4.848015
41029,0.859739
41031,3.929285
41033,0.026141
41035,0.655670
41037,1.064111
41039,13.911432
42011,6.131650
41041,2.715694
41043,2.478587
41045,0.885487
41047,1.759349
46103,3.028366
41049,9.692065
41051,1.176479
41053,2.667486
41055,3.230169
41057,2.937304
41059,14.787790
41061,19.763330
41063,0.642427
41065,25.541966
41067,1.071577
41069,3.485324
41071,10.593682
13099,20.682180
56007,8.315220
6007,0.768275
56011,30.928287
46107,5.992862
9009,7.093447
33001,3.216744
22103,28.543011
33003,3.163923
33005,2.925596
33007,2.544569
33009,4.220871
33011,2.817316
33013,3.496130
33015,3.877158
54019,6.931631
33017,2.544569
33019,2.925596
42017,11.694766
47029,2.953058
46109,8.648016
56029,12.604952
56031,7.765579
31099,12.079457
13105,20.159468
56043,6.128044
13107,16.941500
25001,2.343035
25003,3.871169
54025,19.924845
25005,6.988877
25007,2.239352
25009,5.545331
25011,3.864338
25013,6.216594
25015,5.155339
25017,5.173770
25019,0.103682
25021,4.853798
25023,4.862225
25025,3.853962
25027,5.895158
49011,1.387125
13109,10.806811
19193,4.241372
9005,4.161292
6059,1.774457
8053,20.178833
13111,3.284172
13097,9.606369
46049,29.174946
13113,11.466374
17001,9.790189
17003,14.878862
17005,7.725449
17007,6.271351
17009,9.311747
17011,16.591642
17013,7.362910
17015,10.718807
17017,7.770989
17019,8.305931
17021,7.468728
17023,16.377477
17025,20.870844
17027,10.747981
48031,3.955838
17029,8.208442
17031,6.112740
17033,8.998624
17035,11.982229
17037,6.088215
17039,8.388018
17041,8.579747
17043,7.320825
31119,20.420629
17045,8.579747
17047,8.114633
17049,10.977895
17051,8.529225
17053,13.677495
17055,13.643934
17057,7.334597
17059,12.800358
17061,8.475561
17063,6.088215
17065,9.662978
17067,7.593041
17069,4.685725
17071,7.593041
17073,9.127258
17075,7.314604
17077,7.305677
17079,12.276417
17081,8.958209
17083,7.662611
