source,target,value
25027,18546,10.0
25027,20326,10.0
25027,902,10.0
25027,14585,10.0
25027,11804,10.0
25027,13214,10.0
20201,22500,10.0
20201,13799,10.0
20201,13386,10.0
20201,16267,10.0
20201,20141,10.0
20201,23826,10.0
53029,15500,10.0
53029,17470,10.0
11001,15270,10.0
19195,9417,10.0
19195,7442,10.0
19195,15291,10.0
19195,6782,10.0
19195,8319,10.0
54027,15263,10.0
42025,20232,10.0
42025,10882,10.0
42025,14715,10.0
26025,11713,10.0
26025,4254,10.0
20203,20510,10.0
17203,56697,10.0
17203,4362,10.0
17203,4110,10.0
6019,14328,10.0
6019,17609,10.0
54029,12796,10.0
42027,40219,10.0
42027,20387,10.0
42027,40222,10.0
42027,14711,10.0
21023,6442,10.0
21023,10171,10.0
21023,5580,10.0
21023,19446,10.0
21023,1886,10.0
20205,22500,10.0
20205,15621,10.0
20205,6762,10.0
20205,10005,10.0
20205,16854,10.0
20205,13380,10.0
54069,20521,10.0
54031,15263,10.0
17001,29296,10.0
17001,97,10.0
17001,40307,10.0
17001,56697,10.0
17001,9209,10.0
17003,2776,10.0
17003,56697,10.0
17003,17631,10.0
17005,8824,10.0
17005,17697,10.0
17005,8573,10.0
17005,56697,10.0
17007,16196,10.0
17007,4110,10.0
17009,97,10.0
17009,40307,10.0
17009,56697,10.0
17009,9209,10.0
17011,56697,10.0
17011,4362,10.0
17011,15388,10.0
17011,4110,10.0
17011,40367,10.0
21025,5580,10.0
21025,11011,10.0
21025,1708,10.0
21025,22053,10.0
21025,9575,10.0
17015,9750,10.0
17015,4110,10.0
17017,9209,10.0
17017,12395,10.0
17017,56697,10.0
17017,40307,10.0
17019,5585,10.0
17019,4362,10.0
17019,15686,10.0
17019,56697,10.0
17021,17040,10.0
17021,56697,10.0
17021,40307,10.0
17021,16420,10.0
17023,5531,10.0
17023,13292,10.0
17023,3153,10.0
17023,11736,10.0
17023,56697,10.0
17023,3931,10.0
13043,5905,10.0
13043,7140,10.0
17025,17697,10.0
17025,18955,10.0
17025,13292,10.0
17025,3726,10.0
17025,6417,10.0
17025,56697,10.0
17025,20222,10.0
17027,17697,10.0
17027,18955,10.0
17027,2188,10.0
17027,8573,10.0
17027,56697,10.0
17027,3037,10.0
17027,3806,10.0
17029,56697,10.0
17029,3931,10.0
